slug,g:name_en,g:name_he,p:name_en,p:name_he,name_en,name_he
human_services,Human Services,מענים חברתיים
human_services:food,Human Services,מענים חברתיים,Food,מזון
human_services:food:community_gardens,Human Services,מענים חברתיים,Food,מזון,Community Gardens,גינות קהילתיות 
human_services:food:emergency_food,Human Services,מענים חברתיים,Food,מזון,Emergency Food,מזון בחירום
human_services:food:food_delivery,Human Services,מענים חברתיים,Food,מזון,Food Delivery,משלוחי מזון
human_services:food:food_pantry,Human Services,מענים חברתיים,Food,מזון,Food Pantry,מחסני מזון
human_services:food:help_pay_for_food,Human Services,מענים חברתיים,Food,מזון,Help Pay for Food,סיוע כספי לרכישת מזון
human_services:food:help_pay_for_food:government_food_benefits,Food,מזון,Help Pay for Food,סיוע כספי לרכישת מזון,Government Food Benefits,הטבות ממשלתיות לקניית מזון
human_services:food:nutrition_education,Human Services,מענים חברתיים,Food,מזון,Nutrition Education,חינוך תזונתי 
human_services:food:free_meals,Human Services,מענים חברתיים,Food,מזון,Free Meals,ארוחות חינם 
human_services:food:nutrition,Human Services,מענים חברתיים,Food,מזון,Nutrition,תזונה
human_services:housing,Human Services,מענים חברתיים,Housing,דיור
human_services:housing:temporary_shelter,Human Services,מענים חברתיים,Housing,דיור,Temporary Shelter,מקלט זמני
human_services:housing:temporary_shelter:weather_relief,Housing,דיור,Temporary Shelter,מקלט זמני,Weather Relief,עזרה באסון מזג אוויר
human_services:housing:help_find_housing,Human Services,מענים חברתיים,Housing,דיור,Help Find Housing,עזרה במציאת דיור
human_services:housing:help_pay_for_housing,Human Services,מענים חברתיים,Housing,דיור,Help Pay for Housing,עזרה בתשלום על דיור
human_services:housing:help_pay_for_housing:help_pay_for_utilities,Housing,דיור,Help Pay for Housing,עזרה בתשלום על דיור,Help Pay for Utilities,עזרה בתשלומי חשבונות שוטפים
human_services:housing:help_pay_for_housing:help_pay_for_internet_or_phone,Housing,דיור,Help Pay for Housing,עזרה בתשלום על דיור,Help Pay for Internet or Phone,עזרה בתשלומים לאינטרנט או טלפון 
human_services:housing:help_pay_for_housing:home_renters_insurance,Housing,דיור,Help Pay for Housing,עזרה בתשלום על דיור,Home & Renters Insurance,ביטוח דירה
human_services:housing:help_pay_for_housing:housing_vouchers,Housing,דיור,Help Pay for Housing,עזרה בתשלום על דיור,Housing Vouchers,שוברים לדיור
human_services:housing:help_pay_for_housing:maintenance_repairs,Housing,דיור,Help Pay for Housing,עזרה בתשלום על דיור,Maintenance & Repairs,תחזוקה ותיקונים
human_services:housing:maintenance_repairs,Human Services,מענים חברתיים,Housing,דיור,Maintenance & Repairs,תחזוקה ותיקונים
human_services:housing:maintenance_repairs:efficiency_upgrades,Housing,דיור,Maintenance & Repairs,תחזוקה ותיקונים,Efficiency Upgrades,שדרוגים ליעילות 
human_services:housing:maintenance_repairs:health_safety,Housing,דיור,Maintenance & Repairs,תחזוקה ותיקונים,Health & Safety,בטיחות ובריאות 
human_services:housing:maintenance_repairs:pest_control,Housing,דיור,Maintenance & Repairs,תחזוקה ותיקונים,Pest Control,הדברה
human_services:housing:housing_advice,Human Services,מענים חברתיים,Housing,דיור,Housing Advice,עצות דיור
human_services:housing:housing_advice:foreclosure_counseling,Housing,דיור,Housing Advice,עצות דיור,Foreclosure Counseling,תמיכה לעיקולים
human_services:housing:housing_advice:homebuyer_education,Housing,דיור,Housing Advice,עצות דיור,Homebuyer Education,"חינוך נדל""ן"
human_services:housing:residential_housing,Human Services,מענים חברתיים,Housing,דיור,Residential Housing,דיור למגורים
human_services:housing:residential_housing:long_term_housing,Housing,דיור,Residential Housing,דיור למגורים,Long-Term Housing,דיור לטווח ארוך
human_services:housing:residential_housing:long_term_housing:assisted_living,Residential Housing,דיור למגורים,Long-Term Housing,דיור לטווח ארוך,Assisted Living,דיור מוגן
human_services:housing:residential_housing:long_term_housing:independent_living,Residential Housing,דיור למגורים,Long-Term Housing,דיור לטווח ארוך,Independent Living,דיור עצמאי 
human_services:housing:residential_housing:long_term_housing:nursing_home,Residential Housing,דיור למגורים,Long-Term Housing,דיור לטווח ארוך,Nursing Home,בית אבות 
human_services:housing:residential_housing:long_term_housing:public_housing,Residential Housing,דיור למגורים,Long-Term Housing,דיור לטווח ארוך,Public Housing,דיור ציבורי
human_services:housing:residential_housing:safe_housing,Housing,דיור,Residential Housing,דיור למגורים,Safe Housing,דירות חירום ומקלטים
human_services:housing:residential_housing:short_term_housing,Housing,דיור,Residential Housing,דיור למגורים,Short-Term Housing,דיור לטווח קצר
human_services:housing:residential_housing:short_term_housing:nursing_home,Residential Housing,דיור למגורים,Short-Term Housing,דיור לטווח קצר,Nursing Home,בית אבות 
human_services:housing:residential_housing:short_term_housing:sober_living,Residential Housing,דיור למגורים,Short-Term Housing,דיור לטווח קצר,Sober Living,מרכזי גמילה
human_services:housing:emergency_shelter,Human Services,מענים חברתיים,Housing,דיור,Emergency Shelter,מקלט חירום
human_services:goods,Human Services,מענים חברתיים,Goods,חפצים
human_services:goods:baby_supplies,Human Services,מענים חברתיים,Goods,חפצים,Baby Supplies,מוצרי תינוקות 
human_services:goods:baby_supplies:baby_clothes,Goods,חפצים,Baby Supplies,מוצרי תינוקות ,Baby Clothes,בגדי תינוקות 
human_services:goods:baby_supplies:diapers_formula,Goods,חפצים,Baby Supplies,מוצרי תינוקות ,Diapers & Formula,חיתולים ואוכל תינוקות 
human_services:goods:clothing,Human Services,מענים חברתיים,Goods,חפצים,Clothing,בגדים 
human_services:goods:clothing:clothes_for_school,Goods,חפצים,Clothing,בגדים ,Clothes for School,תלבושת אחידה
human_services:goods:clothing:clothes_for_work,Goods,חפצים,Clothing,בגדים ,Clothes for Work,בגדי עבודה
human_services:goods:clothing:clothing_vouchers,Goods,חפצים,Clothing,בגדים ,Clothing Vouchers,שוברים לבגדים 
human_services:goods:home_goods,Human Services,מענים חברתיים,Goods,חפצים,Home Goods,מוצרים לבית 
human_services:goods:home_goods:blankets,Goods,חפצים,Home Goods,מוצרים לבית ,Blankets,שמיכות
human_services:goods:home_goods:books,Goods,חפצים,Home Goods,מוצרים לבית ,Books,ספרים 
human_services:goods:home_goods:fans,Goods,חפצים,Home Goods,מוצרים לבית ,Fans,
human_services:goods:home_goods:furniture,Goods,חפצים,Home Goods,מוצרים לבית ,Furniture,ריהוט 
human_services:goods:home_goods:home_fuels,Goods,חפצים,Home Goods,מוצרים לבית ,Home Fuels,דלק לבית 
human_services:goods:home_goods:efficient_appliances,Goods,חפצים,Home Goods,מוצרים לבית ,Efficient Appliances,מכשירים חדשים 
human_services:goods:home_goods:personal_care_items,Goods,חפצים,Home Goods,מוצרים לבית ,Personal Care Items,מוצרי טיפוח 
human_services:goods:home_goods:supplies_for_school,Goods,חפצים,Home Goods,מוצרים לבית ,Supplies for School,כלי כתיבה 
human_services:goods:home_goods:supplies_for_work,Goods,חפצים,Home Goods,מוצרים לבית ,Supplies for Work,מוצרים לעבודה
human_services:goods:medical_supplies,Human Services,מענים חברתיים,Goods,חפצים,Medical Supplies,מוצרים רפואיים 
human_services:goods:medical_supplies:assistive_technology,Goods,חפצים,Medical Supplies,מוצרים רפואיים ,Assistive Technology,מכשירי סיוע טכנולוגיים 
human_services:goods:medical_supplies:prosthesis,Goods,חפצים,Medical Supplies,מוצרים רפואיים ,Prosthesis,פרוזטזות 
human_services:goods:personal_safety,Human Services,מענים חברתיים,Goods,חפצים,Personal Safety,בטחון אישי
human_services:goods:toys_gifts,Human Services,מענים חברתיים,Goods,חפצים,Toys & Gifts,צעצועים ומתנות 
human_services:transit,Human Services,מענים חברתיים,Transit,תחבורה
human_services:transit:help_pay_for_transit,Human Services,מענים חברתיים,Transit,תחבורה,Help Pay for Transit,עזרה בתשלום על תחבורה
human_services:transit:help_pay_for_transit:bus_passes,Transit,תחבורה,Help Pay for Transit,עזרה בתשלום על תחבורה,Bus Passes,רב קו
human_services:transit:help_pay_for_transit:help_pay_for_car,Transit,תחבורה,Help Pay for Transit,עזרה בתשלום על תחבורה,Help Pay for Car,עזרה בתשלומי רכב
human_services:transit:help_pay_for_transit:help_pay_for_gas,Transit,תחבורה,Help Pay for Transit,עזרה בתשלום על תחבורה,Help Pay for Gas,עזרה בתשלומי דלק
human_services:transit:transportation,Human Services,מענים חברתיים,Transit,תחבורה,Transportation,תחבורה
human_services:transit:transportation:transportation_for_healthcare,Transit,תחבורה,Transportation,תחבורה,Transportation for Healthcare,הסעות לטיפולים רפואיים
human_services:transit:transportation:transportation_for_school,Transit,תחבורה,Transportation,תחבורה,Transportation for School,הסעות לבתי ספר
human_services:health,Human Services,מענים חברתיים,Health,בריאות 
human_services:health:addiction_recovery,Human Services,מענים חברתיים,Health,בריאות ,Addiction & Recovery,התמכרות וגמילה
human_services:health:addiction_recovery:detox,Health,בריאות ,Addiction & Recovery,התמכרות וגמילה,Detox,ניקוי רעלים 
human_services:health:addiction_recovery:drug_testing,Health,בריאות ,Addiction & Recovery,התמכרות וגמילה,Drug Testing,בדיקות סמים 
human_services:health:addiction_recovery:medications_for_addiction,Health,בריאות ,Addiction & Recovery,התמכרות וגמילה,Medications for Addiction,תרופות להתמכרות 
human_services:health:addiction_recovery:outpatient_treatment,Health,בריאות ,Addiction & Recovery,התמכרות וגמילה,Outpatient Treatment,אשפוזים 
human_services:health:addiction_recovery:peer_recovery_coaching,Health,בריאות ,Addiction & Recovery,התמכרות וגמילה,Peer Recovery Coaching,קבוצות תמיכה
human_services:health:addiction_recovery:residential_treatment,Health,בריאות ,Addiction & Recovery,התמכרות וגמילה,Residential Treatment,מסגרות דיור טיפוליות  
human_services:health:addiction_recovery:substance_abuse_counseling,Health,בריאות ,Addiction & Recovery,התמכרות וגמילה,Substance Abuse Counseling,טיפול פסיכולוגי בהתמכרויות 
human_services:health:dental_care,Human Services,מענים חברתיים,Health,בריאות ,Dental Care,טיפולי שיניים 
human_services:health:end_of_life_care,Human Services,מענים חברתיים,Health,בריאות ,End-of-Life Care,חולים סופניים 
human_services:health:end_of_life_care:bereavement,Health,בריאות ,End-of-Life Care,חולים סופניים ,Bereavement,אבל 
human_services:health:end_of_life_care:burial_funeral_help,Health,בריאות ,End-of-Life Care,חולים סופניים ,Burial & Funeral Help,סיוע בקבורה
human_services:health:end_of_life_care:hospice,Health,בריאות ,End-of-Life Care,חולים סופניים ,Hospice,הוספיס 
human_services:health:end_of_life_care:pain_management,Health,בריאות ,End-of-Life Care,חולים סופניים ,Pain Management,ניהול כאב
human_services:health:health_education,Human Services,מענים חברתיים,Health,בריאות ,Health Education,חינוך בריאותי
human_services:health:health_education:disease_management,Health,בריאות ,Health Education,חינוך בריאותי,Disease Management,ניהול מחלות 
human_services:health:health_education:family_planning,Health,בריאות ,Health Education,חינוך בריאותי,Family Planning,תכנון משפחה
human_services:health:health_education:nutrition_education,Health,בריאות ,Health Education,חינוך בריאותי,Nutrition Education,חינוך תזונתי 
human_services:health:health_education:parenting_education,Health,בריאות ,Health Education,חינוך בריאותי,Parenting Education,הדרכת הורים
human_services:health:health_education:sex_education,Health,בריאות ,Health Education,חינוך בריאותי,Sex Education,חינוך מיני
human_services:health:health_education:understand_disability,Health,בריאות ,Health Education,חינוך בריאותי,Understand Disability,קבלת מוגבלויות 
human_services:health:health_education:understand_mental_health,Health,בריאות ,Health Education,חינוך בריאותי,Understand Mental Health,חינוך על בריאות הנפש
human_services:health:help_pay_for_healthcare,Human Services,מענים חברתיים,Health,בריאות ,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות 
human_services:health:help_pay_for_healthcare:disability_benefits,Health,בריאות ,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות ,Disability Benefits,קצבת נכות 
human_services:health:help_pay_for_healthcare:discounted_healthcare,Health,בריאות ,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות ,Discounted Healthcare,הנחות בשירותי בריאות
human_services:health:help_pay_for_healthcare:health_insurance,Health,בריאות ,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות ,Health Insurance,ביטוח בריאות
human_services:health:help_pay_for_healthcare:prescription_assistance,Health,בריאות ,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות ,Prescription Assistance,עזרה במימון תרופות
human_services:health:help_pay_for_healthcare:transportation_for_healthcare,Health,בריאות ,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות ,Transportation for Healthcare,הסעות לטיפולים רפואיים
human_services:health:help_pay_for_healthcare:medical_supplies,Health,בריאות ,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות ,Medical Supplies,ציוד רפואי
human_services:health:medical_care,Human Services,מענים חברתיים,Health,בריאות ,Medical Care,טיפול רפואי 
human_services:health:medical_care:alternative_medicine,Health,בריאות ,Medical Care,טיפול רפואי ,Alternative Medicine,רפואה אלטרנטיבית 
human_services:health:medical_care:checkup_test,Health,בריאות ,Medical Care,טיפול רפואי ,Checkup & Test,בדיקות 
human_services:health:medical_care:checkup_test:disability_screening,Medical Care,טיפול רפואי ,Checkup & Test,בדיקות ,Disability Screening,ועדת נכות 
human_services:health:medical_care:checkup_test:disease_screening,Medical Care,טיפול רפואי ,Checkup & Test,בדיקות ,Disease Screening,בדיקות למחלות
human_services:health:medical_care:checkup_test:hearing_tests,Medical Care,טיפול רפואי ,Checkup & Test,בדיקות ,Hearing Tests,בדיקות שמיעה
human_services:health:medical_care:checkup_test:pregnancy_tests,Medical Care,טיפול רפואי ,Checkup & Test,בדיקות ,Pregnancy Tests,בדיקות הריון
human_services:health:medical_care:checkup_test:checkup_test,Medical Care,טיפול רפואי ,Checkup & Test,בדיקות ,Checkup & Test,בדיקות רפואיות
human_services:health:medical_care:exercise_fitness,Health,בריאות ,Medical Care,טיפול רפואי ,Exercise & Fitness,התעמלות וכושר
human_services:health:medical_care:help_find_healthcare,Health,בריאות ,Medical Care,טיפול רפואי ,Help Find Healthcare,עזרה במציאת טיפול רפואי
human_services:health:medical_care:medical_supplies,Health,בריאות ,Medical Care,טיפול רפואי ,Medical Supplies,ציוד רפואי 
human_services:health:medical_care:medical_supplies:assistive_technology,Medical Care,טיפול רפואי ,Medical Supplies,ציוד רפואי ,Assistive Technology,טכנולוגיה רפואית מסייעת 
human_services:health:medical_care:medical_supplies:prosthesis,Medical Care,טיפול רפואי ,Medical Supplies,ציוד רפואי ,Prosthesis,פרוטזות 
human_services:health:medical_care:prevent_treat,Health,בריאות ,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע
human_services:health:medical_care:prevent_treat:counseling,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Counseling,טיפול פסיכולוגי
human_services:health:medical_care:prevent_treat:disease_management,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Disease Management,ניהול מחלות
human_services:health:medical_care:prevent_treat:early_childhood_intervention,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Early Childhood Intervention,התערבות חינוכית לגיל הרך
human_services:health:medical_care:prevent_treat:hiv_treatment,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,HIV Treatment,טיפול ב-HIV
human_services:health:medical_care:prevent_treat:hospital_treatment,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Hospital Treatment,טיפול בבית חולים 
human_services:health:medical_care:prevent_treat:in_home_support,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,In-Home Support,עזרה וסיוע אישי בבית  
human_services:health:medical_care:prevent_treat:medication_management,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Medication Management,ניהול תרופות
human_services:health:medical_care:prevent_treat:nursing_home,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Nursing Home,בית אבות 
human_services:health:medical_care:prevent_treat:occupational_therapy,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Occupational Therapy,טיפול תעסוקתי
human_services:health:medical_care:prevent_treat:outpatient_treatment,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Outpatient Treatment,אשפוזים
human_services:health:medical_care:prevent_treat:pain_management,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Pain Management,ניהול כאב
human_services:health:medical_care:prevent_treat:physical_therapy,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Physical Therapy,פיזיותרפיה
human_services:health:medical_care:prevent_treat:residential_treatment,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Residential Treatment,מסגרות דיור טיפוליות 
human_services:health:medical_care:prevent_treat:specialized_therapy,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Specialized Therapy,טיפול מיוחד
human_services:health:medical_care:prevent_treat:speech_therapy,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Speech Therapy,קלינאית תקשורת 
human_services:health:medical_care:prevent_treat:vaccinations,Medical Care,טיפול רפואי ,Prevent & Treat,טיפול מונע,Vaccinations,חיסונים
human_services:health:medical_care:personal_hygiene,Health,בריאות ,Medical Care,טיפול רפואי ,Personal Hygiene,הגיינה אישית
human_services:health:medical_care:primary_care,Health,בריאות ,Medical Care,טיפול רפואי ,Primary Care,טיפול ראשוני
human_services:health:medical_care:skilled_nursing,Health,בריאות ,Medical Care,טיפול רפואי ,Skilled Nursing,אחיות מוסמכות
human_services:health:medical_care:support_service_animals,Health,בריאות ,Medical Care,טיפול רפואי ,Support & Service Animals,כלבי נחייה ותמיכה
human_services:health:medical_care:birth_control,Health,בריאות ,Medical Care,טיפול רפואי ,Birth Control,אמצעי מניעה
human_services:health:medical_care:maternity_care,Health,בריאות ,Medical Care,טיפול רפואי ,Maternity Care,טיפול ביולדות
human_services:health:medical_care:psychiatric_emergency_services,Health,בריאות ,Medical Care,טיפול רפואי ,Psychiatric Emergency Services,שירותי חירום פסיכאטריים 
human_services:health:mental_health_care,Human Services,מענים חברתיים,Health,בריאות ,Mental Health Care,בריאות הנפש
human_services:health:mental_health_care:anger_management,Health,בריאות ,Mental Health Care,בריאות הנפש,Anger Management,ניהול כעסים 
human_services:health:mental_health_care:bereavement,Health,בריאות ,Mental Health Care,בריאות הנפש,Bereavement,אבל
human_services:health:mental_health_care:counseling,Health,בריאות ,Mental Health Care,בריאות הנפש,Counseling,טיפול פסיכולוגי
human_services:health:mental_health_care:counseling:group_therapy,Mental Health Care,בריאות הנפש,Counseling,טיפול פסיכולוגי,Group Therapy,טיפול קבוצתי
human_services:health:mental_health_care:counseling:substance_abuse_counseling,Mental Health Care,בריאות הנפש,Counseling,טיפול פסיכולוגי,Substance Abuse Counseling,טיפול בהתמכרות
human_services:health:mental_health_care:counseling:family_counseling,Mental Health Care,בריאות הנפש,Counseling,טיפול פסיכולוגי,Family Counseling,טיפול משפחתי
human_services:health:mental_health_care:counseling:individual_counseling,Mental Health Care,בריאות הנפש,Counseling,טיפול פסיכולוגי,Individual Counseling,טיפול אישי
human_services:health:mental_health_care:hospital_treatment,Health,בריאות ,Mental Health Care,בריאות הנפש,Hospital Treatment,טיפול בבית חולים
human_services:health:mental_health_care:medications_for_mental_health,Health,בריאות ,Mental Health Care,בריאות הנפש,Medications for Mental Health,טיפול תרופתי לבריאות הנפש
human_services:health:mental_health_care:mental_health_evaluation,Health,בריאות ,Mental Health Care,בריאות הנפש,Mental Health Evaluation,הערכה פסיכיאטרית
human_services:health:mental_health_care:outpatient_treatment,Health,בריאות ,Mental Health Care,בריאות הנפש,Outpatient Treatment,אשפוזים
human_services:health:mental_health_care:psychiatric_emergency_services,Health,בריאות ,Mental Health Care,בריאות הנפש,Psychiatric Emergency Services,שירותי חירום פסיכאטריים 
human_services:health:mental_health_care:residential_treatment,Health,בריאות ,Mental Health Care,בריאות הנפש,Residential Treatment,מסגרות דיור טיפוליות 
human_services:health:mental_health_care:support_service_animals,Health,בריאות ,Mental Health Care,בריאות הנפש,Support & Service Animals,כלבי נחייה ותמיכה
human_services:health:mental_health_care:understand_mental_health,Health,בריאות ,Mental Health Care,בריאות הנפש,Understand Mental Health,חינוך על בריאות הנפש
human_services:health:sexual_reproductive_health,Human Services,מענים חברתיים,Health,בריאות ,Sexual & Reproductive Health,בריאות מינית ורבייה
human_services:health:sexual_reproductive_health:family_planning,Health,בריאות ,Sexual & Reproductive Health,בריאות מינית ורבייה,Family Planning,תכנון משפחה
human_services:health:sexual_reproductive_health:family_planning:birth_control,Sexual & Reproductive Health,בריאות מינית ורבייה,Family Planning,תכנון משפחה,Birth Control,אמצעי מניעה
human_services:health:sexual_reproductive_health:fertility,Health,בריאות ,Sexual & Reproductive Health,בריאות מינית ורבייה,Fertility,פריון
human_services:health:sexual_reproductive_health:sex_education,Health,בריאות ,Sexual & Reproductive Health,בריאות מינית ורבייה,Sex Education,חינוך מיני
human_services:health:sexual_reproductive_health:std_sti_treatment_prevention,Health,בריאות ,Sexual & Reproductive Health,בריאות מינית ורבייה,STD/STI Treatment & Prevention,מניעת מחלות מין 
human_services:health:sexual_reproductive_health:std_sti_treatment_prevention:hiv_treatment,Sexual & Reproductive Health,בריאות מינית ורבייה,STD/STI Treatment & Prevention,מניעת מחלות מין ,HIV Treatment,טיפול ב-HIV
human_services:health:sexual_reproductive_health:women_s_health,Health,בריאות ,Sexual & Reproductive Health,בריאות מינית ורבייה,Women's Health,בריאות האישה
human_services:health:sexual_reproductive_health:women_s_health:maternity_care,Sexual & Reproductive Health,בריאות מינית ורבייה,Women's Health,בריאות האישה,Maternity Care,טיפול ביולדת
human_services:health:sexual_reproductive_health:women_s_health:postnatal_care,Sexual & Reproductive Health,בריאות מינית ורבייה,Women's Health,בריאות האישה,Postnatal Care,טיפול לאחר לידה
human_services:health:vision_care,Human Services,מענים חברתיים,Health,בריאות ,Vision Care,טיפולי ראייה
human_services:money,Human Services,מענים חברתיים,Money,עזרה כספית
human_services:money:financial_assistance,Human Services,מענים חברתיים,Money,עזרה כספית,Financial Assistance,סיוע כספי
human_services:money:financial_assistance:help_pay_for_childcare,Money,עזרה כספית,Financial Assistance,סיוע כספי,Help Pay for Childcare,עזרה כספית בטיפול בילדים
human_services:money:financial_assistance:help_pay_for_food,Money,עזרה כספית,Financial Assistance,סיוע כספי,Help Pay for Food,סיוע כספי לרכישת מזון
human_services:money:financial_assistance:help_pay_for_healthcare,Money,עזרה כספית,Financial Assistance,סיוע כספי,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות
human_services:money:financial_assistance:help_pay_for_healthcare:discounted_healthcare,Financial Assistance,סיוע כספי,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות,Discounted Healthcare,הנחות על שירותי בריאות
human_services:money:financial_assistance:help_pay_for_healthcare:health_insurance,Financial Assistance,סיוע כספי,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות,Health Insurance,ביטוח בריאות
human_services:money:financial_assistance:help_pay_for_healthcare:medical_supplies,Financial Assistance,סיוע כספי,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות,Medical Supplies,ציוד רפואי
human_services:money:financial_assistance:help_pay_for_healthcare:prescription_assistance,Financial Assistance,סיוע כספי,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות,Prescription Assistance,עזרה במימון תרופות
human_services:money:financial_assistance:help_pay_for_healthcare:transportation_for_healthcare,Financial Assistance,סיוע כספי,Help Pay for Healthcare,עזרה בתשלומים על שירותי בריאות,Transportation for Healthcare,הסעות לטיפולים רפואיים
human_services:money:financial_assistance:help_pay_for_housing,Money,עזרה כספית,Financial Assistance,סיוע כספי,Help Pay for Housing,עזרה בתשלום על דיור
human_services:money:financial_assistance:help_pay_for_housing:help_pay_for_utilities,Financial Assistance,סיוע כספי,Help Pay for Housing,עזרה בתשלום על דיור,Help Pay for Utilities,עזרה בתשלומי חשבונות שוטפים
human_services:money:financial_assistance:help_pay_for_housing:help_pay_for_internet_or_phone,Financial Assistance,סיוע כספי,Help Pay for Housing,עזרה בתשלום על דיור,Help Pay for Internet or Phone,עזרה בתשלומים לאינטרנט או טלפון
human_services:money:financial_assistance:help_pay_for_housing:home_renters_insurance,Financial Assistance,סיוע כספי,Help Pay for Housing,עזרה בתשלום על דיור,Home & Renters Insurance,ביטוח דירה
human_services:money:financial_assistance:help_pay_for_school,Money,עזרה כספית,Financial Assistance,סיוע כספי,Help Pay for School,עזרה תשלומי בית ספר
